Name,Collection,Top 1 Organism,Top 2 Organism,Top 3 Organism,Top 4 Organism,Top 5 Organism,Top 6 Organism,Top 7 Organism,Top 8 Organism,Top 9 Organism,Top 10 Organism,Top 11 Organism,Top 12 Organism,Top 13 Organism,Top 14 Organism,Top 15 Organism,Top 16 Organism,Top 17 Organism,Top 18 Organism,Top 19 Organism,Top 20 Organism,Top 21 Organism,Top 22 Organism,Top 23 Organism,Top 24 Organism,Top 25 Organism,Top 26 Organism,Top 27 Organism,Top 28 Organism,Top 29 Organism,Top 30 Organism
Depression,symptoms,[2037] Actinomycetales (-0.1476),[2049] Actinomycetaceae (-0.1476),[1506553] Lachnoclostridium (0.1419),[84111] Eggerthella (0.1341),[33042] Coprococcus (0.1313),[1649459] Hungatella (0.1226),[1769710] Sellimonas (0.1226),[39496] Eubacterium ventriosum (0.1226),[216572] Oscillospiraceae (0.1226),[186803] Lachnospiraceae (0.1124),[292632] Subdoligranulum (0.1038),[1263105] Roseburia inulinivorans CAG:15 (-0.1017),[820] Bacteroides uniformis (-0.1017),[39491] Agathobacter rectalis (-0.1017),[1263079] Agathobacter rectalis CAG:36 (-0.1017),[853] Faecalibacterium prausnitzii (-0.1017),[244127] Anaerotruncus (-0.0513),[283168] Odoribacter (-0.0513),[239759] Alistipes (-0.0449),[1224] Pseudomonadota (0.0381),[816] Bacteroides (0.0381),[1150298] Fusicatenibacter saccharivorans (-0.0327),[2753] Synergistes (-0.0327),[572511] Blautia (0.021),[1678] Bifidobacterium (-0.0209),[665874] Limnohabitans (-0.0206),[254245] Aquicella (-0.0206),[332162] Candidatus Solibacter (-0.0206),[113286] Pseudoramibacter (-0.0206),[28231] Geobacter (-0.0206)
Pemphigus,conditions,[841] Roseburia (-0.1255),[561] Escherichia (0.1255),[562] Escherichia coli (0.1255),[1236] Gammaproteobacteria (0.0995),[91347] Enterobacterales (0.0995),[1300] Streptococcaceae (0.0995),[543] Enterobacteriaceae (0.0995),[1318] Streptococcus parasanguinis (0.094),[158836] Enterobacter hormaechei (0.094),[360807] Roseburia inulinivorans (-0.094),[1898204] Clostridiaceae bacterium (-0.094),[2293144] Roseburia sp. TF10-5 (-0.094),[570] Klebsiella (0.094),[1224] Pseudomonadota (0.094),[49928] unclassified Bacteria (0.094),[186928] unclassified Lachnospiraceae (-0.094),[361210] unclassified Porphyromonadaceae (-0.094),[817] Bacteroides fragilis (0.094),[1485] Clostridium (-0.094),[853] Faecalibacterium prausnitzii (-0.094),[166486] Roseburia intestinalis (-0.094),[97478] Limosilactobacillus mucosae (0.094),[2614128] unclassified Clostridium (-0.094),[573] Klebsiella pneumoniae (0.094),[301302] Roseburia faecis (-0.094),[446660] Adlercreutzia equolifaciens (-0.094),[2608935] unclassified Enterobacter (0.094),[1898203] Lachnospiraceae bacterium (-0.094),[1622] Ligilactobacillus murinus (-0.094),[437897] Megamonas funiformis (-0.094)
Fatigue,symptoms,[1392389] Intestinimonas (-0.0513),[712] Pasteurellaceae (0.0409),[990719] Christensenellaceae (-0.0409),[135625] Pasteurellales (0.0409),[207244] Anaerostipes (-0.0409),[724] Haemophilus (0.0409),[216572] Oscillospiraceae (0.0397),[33038] Mediterraneibacter gnavus (0.0395),[420345] Lactonifactor (-0.0303),[853] Faecalibacterium prausnitzii (-0.0295),[301301] Roseburia hominis (-0.0295),[816] Bacteroides (-0.0216),[116085] Coprococcus catus (0.0204),[2810281] Turicibacteraceae (0.0204),[61170] Holdemania (-0.0204),[526525] Erysipelotrichales (0.0204),[1239] Bacillota (0.0204),[200643] Bacteroidia (-0.0204),[191303] Turicibacter (0.0204),[301302] Roseburia faecis (0.0204),[203557] Verrucomicrobiaceae (0.0204),[526524] Erysipelotrichia (0.0204),[128827] Erysipelotrichaceae (0.0204),[186804] Peptostreptococcaceae (-0.0204),[1224] Pseudomonadota (0.0204),[48461] Verrucomicrobiales (0.0204),[239934] Akkermansia (0.0204),[189330] Dorea (-0.0204),[201174] Actinomycetota (0.0204),[186803] Lachnospiraceae (0.0204)
Vitamin D Deficiency,conditions,[292632] Subdoligranulum (-0.0204),[906] Megasphaera (-0.0204),[186801] Clostridia (-0.0204),[83614] Luteimonas (-0.0204),[1386] Bacillus (-0.0204),[46205] Pseudobutyrivibrio (0.0204),[970] Selenomonas (-0.0204),[171550] Rikenellaceae (-0.0204),[283168] Odoribacter (0.0204),[13687] Sphingomonas (-0.0204),[596767] Hydrogenoanaerobacterium (-0.0204),[481] Neisseriaceae (-0.0204),[375288] Parabacteroides (0.0204),[574697] Butyricimonas (0.0204),[75682] Oxalobacteraceae (-0.0204),[816] Bacteroides (-0.0),,,,,,,,,,,,,,
Cryptosporidiosis,conditions,[906] Megasphaera (-0.047),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hypertension, Pregnancy-Induced",conditions,[816] Bacteroides (0.0),[1350] Enterococcus (-0.0),[39488] Anaerobutyricum hallii (-0.0),[90964] Staphylococcaceae (-0.0),[1643826] Eggerthellaceae (-0.0),[119060] Burkholderiaceae (-0.0),[33042] Coprococcus (-0.0),[572511] Blautia (-0.0),[248744] Marvinbryantia (-0.0),[171552] Prevotellaceae (-0.0),[506] Alcaligenaceae (-0.0),[84998] Coriobacteriia (-0.0),[1678] Bifidobacterium (-0.0),[84107] Coriobacteriaceae (-0.0),[3085642] Butyricicoccaceae (-0.0),[201174] Actinomycetota (-0.0),[976] Bacteroidota (0.0),[438033] Ruminococcus gauvreauii (-0.0),[102106] Collinsella (-0.0),[1407607] Fusicatenibacter (-0.0),[171549] Bacteroidales (0.0),[1279] Staphylococcus (-0.0),[200643] Bacteroidia (0.0),[3085636] Lachnospirales (-0.0),[207244] Anaerostipes (-0.0),[31953] Bifidobacteriaceae (-0.0),[189330] Dorea (-0.0),[222] Achromobacter (-0.0),[84999] Coriobacteriales (-0.0),[580596] Butyricicoccus (-0.0)
Weight Gain,symptoms,[201174] Actinomycetota (-1.0001),[1578] Lactobacillus (-1.0001),[1678] Bifidobacterium (-1.0001),[200643] Bacteroidia (-0.2149),[1239] Bacillota (0.2149),[1301] Streptococcus (0.0316),[572511] Blautia (-0.0292),[189330] Dorea (0.0205),[39948] Dialister (0.0205),[216572] Oscillospiraceae (-0.0131),[816] Bacteroides (0.0131),[28050] Lachnospira (-0.0131),[171550] Rikenellaceae (-0.0131),[119852] Oscillospira (-0.0131),[186802] Eubacteriales (-0.0131),[283168] Odoribacter (-0.0111),[292800] Flavonifractor plautii (-0.0),[40518] Ruminococcus bromii (0.0),[40520] Blautia obeum (0.0),[39496] Eubacterium ventriosum (0.0),[818] Bacteroides thetaiotaomicron (-0.0),[871325] Bacteroides faecichinchillae (-0.0),[116085] Coprococcus catus (0.0),[53443] Blautia hydrogenotrophica (0.0),[418240] Blautia wexlerae (-0.0),[208479] Enterocloster bolteae (-0.0),,,,
"Tuberculosis, Pulmonary",conditions,[816] Bacteroides (0.1157),[375288] Parabacteroides (0.0734),[841] Roseburia (-0.0703),[1301] Streptococcus (0.0629),[1654] Actinomyces (0.0629),[1485] Clostridium (0.0629),[946234] Flavonifractor (0.0565),[580596] Butyricicoccus (0.0565),[290055] Faecalicatena fissicatena (0.0565),[1380] Atopobium (0.0565),[Pathogen] Campylobacter (0.0565),[156454] Anaeroglobus (-0.0565),[413496] Cronobacter (0.0565),[1470353] Candidatus Soleaferrea (0.0565),[1578] Lactobacillus (0.0565),[1350] Enterococcus (0.0565),[117563] Granulicatella (0.0565),[1940255] Fournierella (0.0565),[265975] Oribacterium (0.0565),[52784] Anaerofilum (0.0565),[29465] Veillonella (0.0565),[46123] Abiotrophia (0.0565),[508215] Rothia (0.0565),[196081] Scardovia (0.0565),[100883] Coprobacillus (0.0565),[248038] Mucispirillum (0.0565),[35518] [Eubacterium] nodatum (0.0565),[1766253] Agathobacter (-0.0565),[3025755] Thomasclavelia (0.0565),[544] Citrobacter (0.0565)
Arabinoxylan Digestion,metabolisms,[28116] Bacteroides ovatus (0.0001),[Probiotic] Bifidobacterium longum (0.0001),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tremor,symptoms,[1239] Bacillota (0.0416),[86331] Mogibacterium (-0.0416),[200643] Bacteroidia (-0.0416),[506] Alcaligenaceae (-0.0416),[40544] Sutterella (-0.0416),[1743] Propionibacterium (-0.0416),[186801] Clostridia (0.0416),[872] Desulfovibrio (-0.0416),[74201] Verrucomicrobiota (0.0416),[203494] Verrucomicrobiae (0.0416),[186802] Eubacteriales (0.0416),[48461] Verrucomicrobiales (0.0416),[237] Flavobacterium (-0.0416),[171549] Bacteroidales (-0.0416),[69894] Tindallia (0.0),[31979] Clostridiaceae (0.0),[186803] Lachnospiraceae (0.0),[216851] Faecalibacterium (0.0),[1378] Gemella (0.0),[1696] Brevibacterium (0.0),[572511] Blautia (0.0),[561] Escherichia (-0.0),[28050] Lachnospira (0.0),[543] Enterobacteriaceae (-0.0),[33042] Coprococcus (0.0),[85019] Brevibacteriaceae (0.0),[539738] Gemellaceae (0.0),[186807] Peptococcaceae (0.0),[33951] Acetobacterium (0.0),[1578] Lactobacillus (-0.0)
Adenoma,conditions,[1678] Bifidobacterium (-0.1455),[204516] Phocaeicola massiliensis (0.1175),[1263] Ruminococcus (-0.1175),[1309] Streptococcus mutans (-0.1175),[357276] Phocaeicola dorei (0.1175),[1301] Streptococcus (-0.1175),[454154] Paraprevotella clara (0.1175),[1654] Actinomyces (-0.1175),[248744] Marvinbryantia (-0.1175),[Probiotic] Bifidobacterium animalis (-0.1175),[Probiotic] Streptococcus thermophilus (-0.1175),[32066] Fusobacteriota (0.0708),[1239] Bacillota (-0.0708),[837] Porphyromonas gingivalis (0.0707),[487173] Dialister succinatiphilus (0.0662),[387090] Phocaeicola coprophilus (-0.0662),[187326] Megasphaera micronuciformis (0.0662),[158846] Megamonas (-0.0662),[207244] Anaerostipes (-0.0325),[1117] Cyanobacteriota (-0.0325),[1573534] Faecalitalea (0.0325),[574697] Butyricimonas (0.0325),[135858] Catenibacterium (0.0325),[1714833] Leucoagaricus sp. SymC.cos (-0.0167),[105135] Anaeromyces (0.0167),[1427494] fungal sp. ARF18 (-0.0167),[5305] Phanerochaete (0.0167),[904] Acidaminococcus (-0.0046),[200643] Bacteroidia (-0.0046),[1224] Pseudomonadota (0.0046)
Digestive System Diseases,conditions,[1578] Lactobacillus (0.0071),[848] Fusobacterium (0.0071),[821] Phocaeicola vulgatus (0.0071),[1485] Clostridium (0.0071),[853] Faecalibacterium prausnitzii (0.0071),,,,,,,,,,,,,,,,,,,,,,,,,
"Neuralgia, Postherpetic",conditions,[1221379] uncultured Pseudoflavonifractor sp. (0.0079),[204441] Rhodospirillales (-0.0079),[1017280] Pseudoflavonifractor (0.0079),[85831] Bacteroides acidifaciens (0.0079),[Probiotic] Streptococcus salivarius (0.0079),[2643817] unclassified Atopobium (0.0079),[1506577] Tyzzerella (-0.0079),[1962910] Bryobacteraceae (0.0079),[2636013] unclassified Adlercreutzia (-0.0079),[1906119] Candidatus Gastranaerophilales (-0.0079),[28138] Rikenella (0.0079),[75309] Rhodanobacter (-0.0079),[32033] Xanthomonadaceae (0.0079),[1843489] Veillonellales (-0.0079),[2627917] unclassified Dorea (-0.0079),[1501226] Romboutsia (-0.0079),[2634442] unclassified Parasutterella (-0.0079),[2641574] unclassified Agathobacter (-0.0079),[2642822] unclassified Bilophila (0.0079),[1300] Streptococcaceae (0.0079),[543] Enterobacteriaceae (0.0079),[2685593] unclassified Dongia (0.0079),[332160] Bryobacterales (0.0079),[2633649] unclassified Butyricicoccus (-0.0079),[59620] uncultured Clostridium sp. (0.0079),[2626549] unclassified Actinoplanes (0.0079),[112] Planctomycetales (0.0079),[28111] Bacteroides eggerthii (0.0079),[85006] Micrococcales (0.0079),[911113] Bryobacter (0.0079)
"Nephrolithiasis, Calcium Oxalate",conditions,[577310] Parasutterella (-0.0036),[1348911] Coprobacter (-0.0036),[1742993] Pseudarthrobacter (0.0036),[904] Acidaminococcus (0.0036),[1649471] Mobilitalea (0.0036),[1331051] Candidatus Saccharimonas (0.0036),[1407607] Fusicatenibacter (-0.0036),[123375] Solobacterium (0.0036),[46255] Weissella (0.0036),[2740] Peptococcus (-0.0036),[1769710] Sellimonas (0.0036),[3025755] Thomasclavelia (0.0036),[1506577] Tyzzerella (0.0036),[1378] Gemella (0.0036),[43994] Johnsonella (0.0036),[702] Plesiomonas (0.0036),[561] Escherichia (0.0036),[216851] Faecalibacterium (-0.0036),[2383] Candidatus Epulonipiscium (0.0036),[1738645] Caproiciproducens (-0.0036),[33042] Coprococcus (-0.0036),[283168] Odoribacter (-0.0036),[596767] Hydrogenoanaerobacterium (-0.0036),[52784] Anaerofilum (-0.0036),[1386] Bacillus (0.0036),[437755] Moryella (-0.0036),[244127] Anaerotruncus (-0.0036),[848] Fusobacterium (0.0036),[447020] Adlercreutzia (-0.0036),[46205] Pseudobutyrivibrio (-0.0036)
Attention Deficit Disorder with Hyperactivity,conditions,[158846] Megamonas (0.0261),[541019] Gracilibacteraceae (-0.0261),[342658] Gracilibacter (-0.0261),[1843491] Selenomonadaceae (0.0261),[31977] Veillonellaceae (0.0261),[39948] Dialister (0.0213),[186802] Eubacteriales (-0.0064),[201174] Actinomycetota (0.0064),[1678] Bifidobacterium (0.0064),[816] Bacteroides (0.0063),[375288] Parabacteroides (-0.0063),[990719] Christensenellaceae (-0.0063),[481] Neisseriaceae (0.0063),[171551] Porphyromonadaceae (-0.0063),[171552] Prevotellaceae (-0.0063),[815] Bacteroidaceae (0.0063),[40544] Sutterella (-0.0048),[186804] Peptostreptococcaceae (0.0048),[32033] Xanthomonadaceae (0.0048),[1506553] Lachnoclostridium (-0.0048),[186807] Peptococcaceae (0.0048),[468] Moraxellaceae (0.0048),[506] Alcaligenaceae (-0.0048),[216851] Faecalibacterium (-0.0048),[1350] Enterococcus (0.0),[204475] Gemmiger (0.0),[1263] Ruminococcus (-0.0),[1301] Streptococcus (0.0),[469] Acinetobacter (0.0),[1485] Clostridium (-0.0)
Prolactin,symptoms,[33024] Phascolarctobacterium (-0.0028),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dysentery, Bacillary",conditions,[561] Escherichia (0.1022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migraine Disorders,symptoms,[35518] [Eubacterium] nodatum (-0.0477),[31953] Bifidobacteriaceae (-0.0477),[39491] Agathobacter rectalis (-0.0477),[201174] Actinomycetota (0.0477),[248744] Marvinbryantia (0.0477),[1348911] Coprobacter (0.0477),[85004] Bifidobacteriales (-0.0477),[841] Roseburia (0.0374),[33038] Mediterraneibacter gnavus (-0.0311),[216851] Faecalibacterium (-0.0269),[84112] Eggerthella lenta (0.0168),[1512] [Clostridium] symbiosum (0.0166),[1547] Thomasclavelia ramosa (0.0166),[853] Faecalibacterium prausnitzii (-0.0166),[208479] Enterocloster bolteae (0.0166),[1898203] Lachnospiraceae bacterium (0.0166),[154046] Hungatella hathewayi (0.0166),[333367] Enterocloster asparagiformis (0.0166),[2173] Methanobrevibacter smithii (-0.0166),[1531] Enterocloster clostridioformis (0.0166),[29348] Thomasclavelia spiroformis (0.0166),[53443] Blautia hydrogenotrophica (0.0166),[1239] Bacillota (0.0166),[292800] Flavonifractor plautii (0.0166),[358743] Enterocloster citroniae (0.0166),[1680] Bifidobacterium adolescentis (-0.0166),[1918536] Longicatena (0.0103),[186806] Eubacteriaceae (0.0103),[189330] Dorea (-0.0103),[28050] Lachnospira (-0.0103)
Myalgia,symptoms,[561] Escherichia (0.0038),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luteolin Digestion,metabolisms,[39490] Eubacterium ramulus (0.0098),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular Stiffness,conditions,[292800] Flavonifractor plautii (-0.0655),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leukocyte L1 Antigen Complex,symptoms,[1473205] Senegalimassilia (-0.0167),[848] Fusobacterium (0.0167),[1357] Lactococcus (-0.0167),[239759] Alistipes (-0.0167),[572511] Blautia (-0.0167),[39948] Dialister (0.0167),[816] Bacteroides (0.0167),[838] Prevotella (-0.0),[853] Faecalibacterium prausnitzii (-0.0),[2037] Actinomycetales (-0.0),[1578] Lactobacillus (0.0),[1301] Streptococcus (0.0),[1485] Clostridium (-0.0),[91061] Bacilli (0.0),,,,,,,,,,,,,,,,
Salmonella Infections,conditions,[561] Escherichia (0.1022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspartame Digestion,metabolisms,[1678] Bifidobacterium (0.0111),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anorexia,symptoms,[261299] Intestinibacter bartlettii (0.0038),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hirsutism,symptoms,[577309] Paraprevotella (-0.0055),[1573535] Holdemanella (-0.0055),[1892380] Harryflintia (-0.0055),[1283313] Alloprevotella (-0.0055),[482] Neisseria (-0.0055),[596767] Hydrogenoanaerobacterium (-0.0055),[186803] Lachnospiraceae (-0.0055),[216572] Oscillospiraceae (-0.0055),[1769710] Sellimonas (-0.0055),[31969] Mollicutes (-0.0055),[1357] Lactococcus (0.0055),[33042] Coprococcus (0.0055),[1578] Lactobacillus (-0.0055),,,,,,,,,,,,,,,,,
Shatavari Digestion,metabolisms,[815] Bacteroidaceae (0.0063),[171551] Porphyromonadaceae (0.0063),[81852] Enterococcaceae (0.0063),[186803] Lachnospiraceae (0.0063),[506] Alcaligenaceae (0.0063),[31977] Veillonellaceae (0.0063),,,,,,,,,,,,,,,,,,,,,,,,
Gastric Dilatation,symptoms,[1117] Cyanobacteriota (0.1476),[1678] Bifidobacterium (0.1292),[816] Bacteroides (0.1243),[128827] Erysipelotrichaceae (0.1243),[84111] Eggerthella (-0.0548),[31977] Veillonellaceae (0.0548),[468] Moraxellaceae (0.0548),[186827] Aerococcaceae (-0.0548),[135858] Catenibacterium (-0.0548),[40840] Succiniclasticum (0.0548),[283168] Odoribacter (-0.0548),[292632] Subdoligranulum (-0.0114),[216572] Oscillospiraceae (0.0114),[244127] Anaerotruncus (0.0114),[109326] Anaerovorax (0.0114),[40519] Ruminococcus callidus (0.0063),[169435] Anaerotruncus colihominis (0.0063),[28052] Lachnospira pectinoschiza (0.0063),[1224] Pseudomonadota (0.006),[216851] Faecalibacterium (0.006),[1531] Enterocloster clostridioformis (0.006),[201174] Actinomycetota (-0.006),[1917870] Lachnoclostridium pacaense (0.006),[758826] Acidovorax radicis (0.006),[338188] Bacteroides finegoldii (0.006),[626929] Bacteroides clarus (0.006),[100886] Catenibacterium mitsuokai (0.006),[820] Bacteroides uniformis (-0.006),[853] Faecalibacterium prausnitzii (0.006),[1680] Bifidobacterium adolescentis (-0.006)
Hepatitis C,conditions,[84998] Coriobacteriia (0.0333),[84107] Coriobacteriaceae (0.0333),[102106] Collinsella (0.0333),[83770] Succinivibrio (0.0333),[83763] Succinivibrionaceae (0.0333),[90964] Staphylococcaceae (0.0294),[1279] Staphylococcus (0.0294),[186804] Peptostreptococcaceae (0.0205),[3082720] Peptostreptococcales (0.0205),[2767887] Ligilactobacillus (0.0205),[581] Morganella (-0.0205),[712] Pasteurellaceae (-0.0205),[469] Acinetobacter (-0.0205),[191303] Turicibacter (0.0205),[1903414] Morganellaceae (-0.0205),[1407607] Fusicatenibacter (0.0205),[468] Moraxellaceae (-0.0205),[1501226] Romboutsia (0.0205),[72274] Pseudomonadales (-0.0205),[1506553] Lachnoclostridium (0.0205),[1243] Leuconostoc (0.0205),[724] Haemophilus (-0.0205),[81852] Enterococcaceae (-0.0128),[570] Klebsiella (0.0128),[356] Hyphomicrobiales (-0.0128),[1117] Cyanobacteriota (0.0128),[838] Prevotella (0.0128),[583] Proteus (-0.0128),[1485] Clostridium (0.0128),[135624] Aeromonadales (0.0128)
Sleep Wake Disorders,symptoms,[848] Fusobacterium (0.0153),[191303] Turicibacter (-0.0153),[39948] Dialister (0.0153),[33042] Coprococcus (0.0063),[265975] Oribacterium (0.0063),[1716] Corynebacterium (-0.0063),[61170] Holdemania (-0.0063),[482] Neisseria (-0.0063),[1696] Brevibacterium (-0.0063),[572511] Blautia (0.0063),[186803] Lachnospiraceae (0.0063),[128827] Erysipelotrichaceae (-0.0063),[40544] Sutterella (-0.0063),[904] Acidaminococcus (0.0042),[1283313] Alloprevotella (-0.0039),[1239] Bacillota (0.0039),[543] Enterobacteriaceae (-0.0039),[577309] Paraprevotella (-0.0039),[200643] Bacteroidia (-0.0039),[244127] Anaerotruncus (-0.0039),[872] Desulfovibrio (-0.0039),[1578] Lactobacillus (0.0003),[39496] Eubacterium ventriosum (-0.0003),[1407607] Fusicatenibacter (-0.0003),[2740] Peptococcus (-0.0003),[189330] Dorea (-0.0003),[216851] Faecalibacterium (-0.0003),[1263031] Firmicutes bacterium CAG:56 (-0.0003),[438033] Ruminococcus gauvreauii (-0.0003),[186802] Eubacteriales (0.0)
Glucose Digestion,metabolisms,[1870985] Arabiibacter massiliensis (0.0026),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastroparesis,symptoms,[1224] Pseudomonadota (0.0166),[1239] Bacillota (0.0166),[200643] Bacteroidia (-0.0166),[562] Escherichia coli (0.0166),[907] Megasphaera elsdenii (0.0166),[543] Enterobacteriaceae (0.0166),[1236] Gammaproteobacteria (0.0166),[201174] Actinomycetota (0.0166),[91347] Enterobacterales (0.0166),[906] Megasphaera (0.0166),,,,,,,,,,,,,,,,,,,,
Chito-oligosaccharides Digestion,metabolisms,[200643] Bacteroidia (0.0666),[216851] Faecalibacterium (0.0519),[570] Klebsiella (-0.0519),[838] Prevotella (0.0519),[239759] Alistipes (0.0519),[1224] Pseudomonadota (0.0147),[1485] Clostridium (0.0147),[1263] Ruminococcus (0.0147),[28116] Bacteroides ovatus (0.0147),[1678] Bifidobacterium (0.0147),[201174] Actinomycetota (0.0147),[1301] Streptococcus (0.0147),[119852] Oscillospira (0.0147),,,,,,,,,,,,,,,,,
Kapikacchu Digestion,metabolisms,[31953] Bifidobacteriaceae (0.0063),[301302] Roseburia faecis (0.0063),[815] Bacteroidaceae (0.0063),,,,,,,,,,,,,,,,,,,,,,,,,,,
Neoplasms,conditions,[39488] Anaerobutyricum hallii (-0.0102),[1354333] Cosenzaea (0.0102),[1224] Pseudomonadota (-0.0),[1239] Bacillota (-0.0),[40544] Sutterella (-0.0),[239759] Alistipes (0.0),[201174] Actinomycetota (-0.0),[216851] Faecalibacterium (-0.0),[976] Bacteroidota (0.0),[577309] Paraprevotella (0.0),[816] Bacteroides (0.0),[32066] Fusobacteriota (0.0),,,,,,,,,,,,,,,,,,
